id,latitude,longtitude,grid
303,13.80731133,39.598794,Yes
304,13.80731133,39.598794,Yes
305,13.80731133,39.598794,Yes
306,13.80731133,39.598794,Yes
307,13.23495773,39.16343926,No
308,13.23495773,39.16343926,No
309,13.23495773,39.16343926,No
310,13.23495773,39.16343926,No
311,13.23495773,39.16343926,No
312,13.23495773,39.16343926,No
313,13.23495773,39.16343926,No
314,13.23495773,39.16343926,No
315,13.23495773,39.16343926,No
316,13.23495773,39.16343926,No
317,13.23495773,39.16343926,No
318,13.28435567,39.5298316,Yes
319,13.28435567,39.5298316,Yes
320,13.28435567,39.5298316,Yes
321,13.28435567,39.5298316,Yes
322,13.28435567,39.5298316,Yes
323,13.28435567,39.5298316,Yes
324,13.30936701,39.53784022,Yes
325,13.28435567,39.5298316,Yes
326,13.28435567,39.5298316,Yes
327,13.28435567,39.5298316,Yes
328,13.28435567,39.5298316,Yes
329,13.28435567,39.5298316,Yes
330,13.28202402,39.44052038,No
331,13.28202402,39.44052038,No
332,13.28202402,39.44052038,No
333,13.28202402,39.44052038,No
334,13.28202402,39.44052038,No
335,13.28202402,39.44052038,No
336,13.28202402,39.44052038,No
337,13.28202402,39.44052038,No
338,13.28202402,39.44052038,No
339,13.28202402,39.44052038,No
340,13.28202402,39.44052038,No
341,13.28202402,39.44052038,No
342,13.01685124,39.36716362,Yes
343,13.01685124,39.36716362,Yes
344,13.01685124,39.36716362,Yes
345,13.01685124,39.36716362,Yes
346,13.01685124,39.36716362,Yes
347,13.01685124,39.36716362,Yes
348,13.01685124,39.36716362,Yes
349,13.01685124,39.36716362,Yes
350,13.01685124,39.36716362,Yes
351,13.01685124,39.36716362,Yes
352,13.01685124,39.36716362,Yes
353,13.01685124,39.36716362,Yes
354,12.78262682,39.3068868,Yes
355,12.78262682,39.3068868,Yes
356,12.78262682,39.3068868,Yes
357,12.78262682,39.3068868,Yes
358,12.78262682,39.3068868,Yes
359,12.78262682,39.3068868,Yes
360,12.78262682,39.3068868,Yes
361,12.78262682,39.3068868,Yes
362,12.78262682,39.3068868,Yes
363,12.78262682,39.3068868,Yes
364,12.78262682,39.3068868,Yes
365,12.62313333,39.65168209,Yes
366,12.62313333,39.65168209,Yes
367,12.62313333,39.65168209,Yes
368,12.62313333,39.65168209,Yes
369,12.62313333,39.65168209,Yes
370,12.62313333,39.65168209,Yes
371,12.62313333,39.65168209,Yes
372,12.62313333,39.65168209,Yes
373,12.62313333,39.65168209,Yes
374,12.62313333,39.65168209,Yes
375,12.62313333,39.65168209,Yes
376,12.62096623,39.42445202,No
377,12.62096623,39.42445202,No
378,12.62096623,39.42445202,No
379,12.62096623,39.42445202,No
380,12.62096623,39.42445202,No
381,12.62096623,39.42445202,No
382,12.62096623,39.42445202,No
383,12.62096623,39.42445202,No
384,12.62096623,39.42445202,No
385,12.62096623,39.42445202,No
386,12.78455845,39.54924348,Yes
387,12.78455845,39.54924348,Yes
388,12.78455845,39.54924348,Yes
389,12.78455845,39.54924348,Yes
390,12.78455845,39.54924348,Yes
391,12.78455845,39.54924348,Yes
392,12.78455845,39.54924348,Yes
393,12.78455845,39.54924348,Yes
394,12.78455845,39.54924348,Yes
395,12.78455845,39.54924348,Yes
396,12.78455845,39.54924348,Yes
397,12.78455845,39.54924348,Yes
398,12.78455845,39.54924348,Yes
399,14.18199149,36.47999309,No
400,14.18199149,36.47999309,No
401,14.18199149,36.47999309,No
402,14.18199149,36.47999309,No
403,14.18199149,36.47999309,No
404,14.18199149,36.47999309,No
405,14.18199149,36.47999309,No
406,14.18199149,36.47999309,No
407,14.18199149,36.47999309,No
408,14.18199149,36.47999309,No
409,14.18199149,36.47999309,No
410,14.18199149,36.47999309,No
411,14.18199149,36.47999309,No
412,14.18199149,36.47999309,No
413,14.18199149,36.47999309,No
414,14.18199149,36.47999309,No
415,14.18199149,36.47999309,No
416,14.18199149,36.47999309,No
417,14.18199149,36.47999309,No
418,14.18199149,36.47999309,No
419,14.18199149,36.47999309,No
420,14.18199149,36.47999309,No
421,14.18199149,36.47999309,No
422,14.18199149,36.47999309,No
423,14.18199149,36.47999309,No
424,14.18199149,36.47999309,No
425,14.08723507,37.50152638,Yes
426,14.08723507,37.50152638,Yes
427,14.08723507,37.50152638,Yes
428,14.08723507,37.50152638,Yes
429,14.08723507,37.50152638,Yes
430,14.08723507,37.50152638,Yes
431,14.08723507,37.50152638,Yes
432,14.08723507,37.50152638,Yes
433,14.08723507,37.50152638,Yes
434,14.08723507,37.50152638,Yes
435,14.08723507,37.50152638,Yes
436,14.08723507,37.50152638,Yes
437,13.6709933,37.40642565,Yes
438,13.6709933,37.40642565,Yes
439,13.6709933,37.40642565,Yes
440,13.6709933,37.40642565,Yes
441,13.6709933,37.40642565,Yes
442,13.6709933,37.40642565,Yes
443,13.6709933,37.40642565,Yes
444,13.81677558,37.45532651,Yes
445,13.6709933,37.40642565,Yes
446,13.6709933,37.40642565,Yes
447,13.6709933,37.40642565,Yes
448,13.6709933,37.40642565,Yes
449,13.73157044,37.36725332,Yes
450,13.73157044,37.36725332,Yes
451,13.73157044,37.36725332,Yes
