id,lat,long,Grid_Within_5km
10403088800404053,13,39,No
10403088800404065,13,39,No
10403088800404074,13,39,No
10403088800404079,13,39,No
10403088800404093,13,39,No
10403088800404106,13,39,No
10403088800404118,13,39,No
10403088800404143,13,39,No
10404088800103001,13,39,No
10404088800103011,13,39,No
10404088800103016,13,39,No
10404088800103031,13,39,No
10404088800103046,13,39,No
10404088800103047,13,39,No
10404088800103062,13,39,No
10404088800103077,13,39,No
10404088800103092,13,39,No
10404088800103107,13,39,No
10404088800103122,13,39,No
10404088800103137,13,39,No
10405088800701004,13,39,No
10405088800701025,13,39,No
10405088800701046,13,39,No
10405088800701062,13,39,No
10405088800701070,13,39,No
10405088800701114,13,39,No
10405088800701135,13,39,No
10405088800701141,13,39,No
10405088800701158,13,39,No
10405088800701179,13,39,No
10405088800701200,13,39,No
10406088800803003,13,40,No
10406088800803020,13,40,No
10406088800803033,13,40,No
10406088800803055,13,40,No
10406088800803060,13,40,No
10406088800803074,13,40,No
10406088800803117,13,40,No
10406088800803137,13,40,No
10406088800803155,13,40,No
10406088800803183,13,40,No
10406088800803207,13,40,No
10408088800402020,13,39,No
10408088800402039,13,39,No
10408088800402054,13,39,No
10408088800402080,13,39,No
10408088800402098,13,39,No
10408088800402116,13,39,No
10408088800402135,13,39,No
10408088800402155,13,39,No
10408088800402167,13,39,No
10408088800402173,13,39,No
10409010100306001,13,40,No
10409010100306012,13,40,No
10409010100306034,13,40,No
10409010100306045,13,40,No
10409010100306056,13,40,No
10409010100306078,13,40,No
10409010100306089,13,40,No
10409010100306100,13,40,No
10409010100306111,13,40,No
10409010100306122,13,40,No
10409010100306133,13,40,No
10409010100306144,13,40,No
10409010100306155,13,40,No
10501020100105007,14,36,No
10501020100105019,14,36,No
10501020100105031,14,36,No
10501020100105043,14,36,No
10501020100105055,14,36,No
10501020100105067,14,36,No
10501020100105079,14,36,No
10501020100105103,14,36,No
10501020100105115,14,36,No
10501020100105127,14,36,No
10501020100105139,14,36,No
10501020100105151,14,36,No
10501020100105163,14,36,No
10501020100105175,14,36,No
10501088800105005,14,36,No
10501088800105031,14,36,No
10501088800105037,14,36,No
10501088800105053,14,36,No
10501088800105075,14,36,No
10501088800105077,14,36,No
10501088800105091,14,36,No
10501088800105110,14,36,No
10501088800105136,14,36,No
10501088800105153,14,36,No
10501088800105174,14,36,No
10501088800105200,14,36,No
10502088800201004,14,38,No
10502088800201022,14,38,No
10502088800201027,14,38,No
10502088800201041,14,38,No
10502088800201057,14,38,No
10502088800201078,14,38,No
10502088800201099,14,38,No
10502088800201120,14,38,No
10502088800201142,14,38,No
10502088800201163,14,38,No
10502088800201184,14,38,No
10502088800201205,14,38,No
10502088800712002,14,37,No
10502088800712020,14,37,No
10502088800712035,14,37,No
10502088800712040,14,37,No
10502088800712054,14,37,No
10502088800712064,14,37,No
10502088800712073,14,37,No
10502088800712082,14,37,No
10502088800712091,14,37,No
10502088800712100,14,37,No
10502088800712110,14,37,No
10502088800712138,14,37,No
10502088801503002,14,37,No
10502088801503015,14,37,No
10502088801503021,14,37,No
10502088801503026,14,37,No
10502088801503040,14,37,No
10502088801503058,14,37,No
10502088801503076,14,37,No
10502088801503094,14,37,No
10502088801503112,14,37,No
10502088801503130,14,37,No
10502088801503148,14,37,No
10502088801503167,14,37,No
10503088801501011,13,37,No
10503088801501062,13,37,No
10503088801501114,13,37,No
10503088801501183,13,37,No
10503088801501236,13,37,No
10503088801501306,13,37,No
10503088801501372,13,37,No
10503088801501503,13,37,No
10503088801501572,13,37,No
10503088802304003,14,38,No
10503088802304015,14,38,No
10503088802304021,14,38,No
10503088802304039,14,38,No
10503088802304053,14,38,No
10503088802304057,14,38,No
10503088802304075,14,38,No
10503088802304094,14,38,No
10503088802304112,14,38,No
10503088802304130,14,38,No
10503088802304148,14,38,No
10503088802304166,14,38,No
10601010100224014,13,39,No
10601010100224029,13,39,No
10601010100224089,13,39,No
10601010100224104,13,39,No
10601010100224134,13,39,No
10601010100224149,13,39,No
10601010100224179,13,39,No
10601010100224194,13,39,No
10601010100224209,13,39,No
10601010100303003,14,39,Yes
10601010100303018,14,39,Yes
10601010100303033,14,39,Yes
10601010100303048,14,39,Yes
10601010100303063,14,39,Yes
10601010100303078,14,39,Yes
10601010100303093,14,39,Yes
10601010100303108,14,39,Yes
10601010100303123,14,39,Yes
10601010100303153,14,39,Yes
10601010100303168,14,39,Yes
10601010100303198,14,39,Yes
10601010100315005,13,39,No
10601010100315013,13,39,No
10601010100315017,13,39,No
10601010100315021,13,39,No
10601010100315029,13,39,No
10601010100315045,13,39,No
10601010100315053,13,39,No
10601010100315061,13,39,No
10601010100315069,13,39,No
10601010100315077,13,39,No
10601010100315085,13,39,No
10601010100315093,13,39,No
10601010100315101,13,39,No
10601010100315109,13,39,No
10601010100423001,13,39,No
10601010100423002,13,39,No
10601010100423003,13,39,No
10601010100423004,13,39,No
10601010100423005,13,39,No
10601010100423006,13,39,No
10601010100423007,13,39,No
10601010100423008,13,39,No
10601010100423009,13,39,No
10601010100423010,13,39,No
10601010100423011,13,39,No
10601010100423012,13,39,No
10601010100423013,13,39,No
10601010100423014,13,39,No
10601010100423015,13,39,No
10601010100532009,14,39,Yes
10601010100532021,14,39,Yes
10601010100532033,14,39,Yes
10601010100532057,14,39,Yes
10601010100532069,14,39,Yes
10601010100532081,14,39,Yes
10601010100532093,14,39,Yes
10601010100532105,14,39,Yes
10601010100532117,14,39,Yes
10601010100532129,14,39,Yes
10601010100532141,14,39,Yes
10601010100532153,14,39,Yes
10601010100532165,14,39,Yes
10601010100532177,14,39,Yes
10601010103701003,14,39,Yes
10601010103701022,14,39,Yes
10601010103701041,14,39,Yes
10601010103701060,14,39,Yes
10601010103701098,14,39,Yes
10601010103701117,14,39,Yes
10601010103701136,14,39,Yes
10601010103701174,14,39,Yes
10601010103701212,14,39,Yes
10601010103701250,14,40,No
10601010103701269,14,39,Yes
10602010100113005,13,39,No
10602010100113014,13,39,No
10602010100113023,13,39,No
10602010100113041,13,39,No
10602010100113050,13,39,No
10602010100113059,13,39,No
10602010100113068,13,39,No
10602010100113077,13,39,No
10602010100113086,13,39,No
10602010100113095,13,39,No
10602010100113113,13,39,No
10602010100113131,13,39,No
10602010100519007,13,40,No
10602010100519019,13,40,No
10602010100519031,13,40,No
10602010100519043,13,40,No
10602010100519055,13,40,No
10602010100519076,13,40,No
10602010100519079,13,40,No
10602010100519091,13,40,No
10602010100519103,13,40,No
10602010100519115,13,40,No
10602010100519127,13,40,No
10602010100519139,13,40,No
10602010100519151,13,40,No
10602010100519163,13,40,No
10602010100519175,13,40,No
20102010100102008,12,41,No
20102010100102019,12,42,No
20102010100102041,12,42,No
20102010100102052,12,42,No
20102010100102063,12,41,No
20102010100102085,12,42,No
20102010100102096,12,42,No
20102010100102107,12,42,No
20102010100102118,12,42,No
20102010100102129,12,42,No
20102010100102141,12,42,No
20103010100204004,12,41,No
20103010100204015,12,41,No
20103010100204026,12,41,No
20103010100204037,12,41,No
20103010100204059,12,41,No
20103010100204070,12,41,No
20103010100204081,12,41,No
20103010100204114,12,41,No
20103010100204125,12,41,No
20103010100204136,12,41,No
20103010100204147,12,41,No
20103010100204158,12,41,No
20103088800102004,12,41,No
20103088800102014,12,41,No
20103088800102019,12,41,No
20103088800102034,12,41,No
20103088800102049,12,41,No
20103088800102064,12,41,No
20103088800102079,12,41,No
20103088800102094,12,41,No
20103088800102109,12,41,No
20103088800102117,12,41,No
20103088800102125,12,41,No
20103088800102140,12,41,No
20103088800601003,12,41,No
20103088800601022,12,41,No
20103088800601040,12,41,No
20103088800601052,12,41,No
20103088800601079,12,41,No
20103088800601097,12,41,No
20103088800601115,12,41,No
20103088800601133,12,41,No
20103088800601151,12,41,No
20103088800601171,12,41,No
20103088800802007,12,42,No
20103088800802042,12,42,No
20103088800802066,12,42,No
20103088800802069,12,42,No
20103088800802078,12,42,No
20103088800802113,12,42,No
20103088800802147,12,42,No
20103088800802181,12,42,No
20103088800802217,12,42,No
20103088800802250,12,42,No
20103088800802283,12,42,No
20103088800802316,12,42,No
20104088800201006,12,42,No
20104088800201024,12,42,No
20104088800201044,12,42,No
20104088800201062,12,42,No
20104088800201067,12,42,No
20104088800201079,12,42,No
20104088800201083,12,42,No
20104088800201101,12,42,No
20104088800201119,12,42,No
20104088800201137,12,42,No
20104088800201155,12,42,No
20104088800201173,12,42,No
20105088800404001,12,41,No
20105088800404004,12,41,No
20105088800404007,12,41,No
20105088800404010,12,41,No
20105088800404013,12,41,No
20105088800404016,12,41,No
20105088800404019,12,41,No
20105088800404022,12,41,No
20105088800404024,12,41,No
20105088800404025,12,41,No
20105088800404028,12,41,No
20105088800404032,12,41,No
20105088801103002,11,40,No
20105088801103008,11,40,No
20105088801103014,11,40,No
20105088801103026,11,40,No
20105088801103044,11,40,No
20105088801103064,11,40,No
20105088801103091,11,40,No
20105088801103111,11,40,No
20105088801103113,11,40,No
20106088800402004,12,40,No
20106088800402017,12,40,No
20106088800402029,12,40,No
20106088800402041,12,40,No
20106088800402054,12,40,No
20106088800402066,12,40,No
20106088800402077,12,40,No
20106088800402080,12,40,No
20106088800402092,12,40,No
20106088800402104,12,40,No
20106088800402116,12,40,No
20301030100101016,9,40,No
20301030100101028,9,40,No
20301030100101064,12,41,No
20301030100101076,9,40,No
20301030100101088,9,40,No
20301030100101112,9,40,No
20302088800102002,9,40,No
20302088800102011,9,40,No
20302088800102020,9,40,No
20302088800102029,9,40,No
20302088800102038,9,40,No
20302088800102047,9,40,No
20302088800102057,9,40,No
20302088800102062,9,40,No
20302088800102071,9,40,No
20302088800102080,9,40,No
20302088800102089,9,40,No
20304088800601002,10,40,No
20304088800601012,10,40,No
20304088800601017,10,40,No
20304088800601032,10,40,No
20304088800601047,10,40,No
20304088800601062,10,40,No
20304088800601077,10,40,No
20304088800601107,10,40,No
20304088800601122,10,40,No
20304088800601137,10,40,No
20304088800601158,10,40,No
20304088800601160,10,40,No
20306088800601006,10,40,No
20306088800601018,10,40,No
20306088800601024,10,40,No
20306088800601032,10,40,No
20306088800601044,10,40,No
20306088800601062,10,40,No
20306088800601080,10,40,No
20306088800601098,10,40,No
20306088800601116,10,40,No
20306088800601134,10,40,No
20306088800601152,10,40,No
20306088800601170,10,40,No
30101088800204002,13,38,No
30101088800204020,13,38,No
30101088800204028,13,38,No
30101088800204040,13,38,No
30101088800204058,13,38,No
30101088800204061,13,38,No
30101088800204077,13,38,No
30101088800204114,13,38,No
30101088800204132,13,38,No
30101088800204150,13,38,No
30101088800204168,13,38,No
30104088800901006,13,38,No
30104088800901014,13,38,No
30104088800901030,13,38,No
30104088800901054,13,38,No
30104088800901078,13,38,No
30104088800901102,13,38,No
30104088800901126,13,38,No
30104088800901150,13,38,No
30104088800901199,13,38,No
30104088800901223,13,38,No
30108088800701005,13,37,No
30108088800701020,13,37,No
30108088800701035,13,37,No
30108088800701050,13,37,No
30108088800701065,13,37,No
30108088800701080,13,37,No
30108088800701095,13,37,No
30108088800701110,13,37,No
30108088800701125,13,37,No
30108088800701140,13,37,No
30108088800701157,13,37,No
30108088800701159,13,37,No
30109020100112003,13,38,No
30109020100112013,13,38,No
